Year,rn,n_providers,provider_pct,cumulative_spend_share,rowid
2022,100,1148873,8.70418227254013e-05,0.0455054412649271,1
2022,200,1148873,0.000174083645450803,0.0576373414725734,2
2022,300,1148873,0.000261125468176204,0.0662942039941494,3
2022,400,1148873,0.000348167290901605,0.0735622954845241,4
2022,500,1148873,0.000435209113627007,0.0798715405489752,5
2022,600,1148873,0.000522250936352408,0.085547132185051,6
2022,700,1148873,0.000609292759077809,0.0907163386635062,7
2022,800,1148873,0.000696334581803211,0.095528389569196,8
2022,900,1148873,0.000783376404528612,0.100082075235832,9
2022,1000,1148873,0.000870418227254013,0.104402931370672,10
2022,1100,1148873,0.000957460049979415,0.10853041953671,11
2022,1200,1148873,0.00104450187270482,0.112447578239623,12
2022,1300,1148873,0.00113154369543022,0.116197426436733,13
2022,1400,1148873,0.00121858551815562,0.119810229370824,14
2022,1500,1148873,0.00130562734088102,0.123288873060511,15
2022,1600,1148873,0.00139266916360642,0.126659200588274,16
2022,1700,1148873,0.00147971098633182,0.129929997748362,17
2022,1800,1148873,0.00156675280905722,0.13309474507793,18
2022,1900,1148873,0.00165379463178263,0.136167986819337,19
2022,2000,1148873,0.00174083645450803,0.139156486678373,20
2022,2100,1148873,0.00182787827723343,0.142072587115697,21
2022,2200,1148873,0.00191492009995883,0.144913532473142,22
2022,2300,1148873,0.00200196192268423,0.147680346174032,23
2022,2400,1148873,0.00208900374540963,0.150383939310992,24
2022,2500,1148873,0.00217604556813503,0.153029659469659,25
2022,2600,1148873,0.00226308739086043,0.155606989895403,26
2022,2700,1148873,0.00235012921358584,0.158112270065467,27
2022,2800,1148873,0.00243717103631124,0.16056612399214,28
2022,2900,1148873,0.00252421285903664,0.162966857106573,29
2022,3000,1148873,0.00261125468176204,0.165311649396847,30
2022,3100,1148873,0.00269829650448744,0.167604797281919,31
2022,3200,1148873,0.00278533832721284,0.169849001395853,32
2022,3300,1148873,0.00287238014993824,0.172049662520465,33
2022,3400,1148873,0.00295942197266365,0.174214654384223,34
2022,3500,1148873,0.00304646379538905,0.176344347708003,35
2022,3600,1148873,0.00313350561811445,0.17843318288934,36
2022,3700,1148873,0.00322054744083985,0.180484236871337,37
2022,3800,1148873,0.00330758926356525,0.182501520898929,38
2022,3900,1148873,0.00339463108629065,0.184487832408538,39
2022,4000,1148873,0.00348167290901605,0.186444153319308,40
2022,4100,1148873,0.00356871473174145,0.18837438468659,41
2022,4200,1148873,0.00365575655446686,0.190277035072564,42
2022,4300,1148873,0.00374279837719226,0.192151492430999,43
2022,4400,1148873,0.00382984019991766,0.193997102651041,44
2022,4500,1148873,0.00391688202264306,0.195813776973387,45
2022,4600,1148873,0.00400392384536846,0.197603484253161,46
2022,4700,1148873,0.00409096566809386,0.199366476578375,47
2022,4800,1148873,0.00417800749081926,0.201100896316966,48
2022,4900,1148873,0.00426504931354466,0.202810707889056,49
2022,5000,1148873,0.00435209113627007,0.204494988340585,50
2022,5100,1148873,0.00443913295899547,0.206161098445785,51
2022,5200,1148873,0.00452617478172087,0.207805215289803,52
2022,5300,1148873,0.00461321660444627,0.209428966946719,53
2022,5400,1148873,0.00470025842717167,0.211033528895189,54
2022,5500,1148873,0.00478730024989707,0.212615445294591,55
2022,5600,1148873,0.00487434207262247,0.21417780690786,56
2022,5700,1148873,0.00496138389534788,0.215720635362208,57
2022,5800,1148873,0.00504842571807328,0.217243622485679,58
2022,5900,1148873,0.00513546754079868,0.218747057415568,59
2022,6000,1148873,0.00522250936352408,0.220230799329401,60
2022,6100,1148873,0.00530955118624948,0.221696022928289,61
2022,6200,1148873,0.00539659300897488,0.223144512166196,62
2022,6300,1148873,0.00548363483170028,0.2245763320112,63
2022,6400,1148873,0.00557067665442568,0.225990060518422,64
2022,6500,1148873,0.00565771847715109,0.227389117499139,65
2022,6600,1148873,0.00574476029987649,0.228772875171687,66
2022,6700,1148873,0.00583180212260189,0.230140317941622,67
2022,6800,1148873,0.00591884394532729,0.231494165357707,68
2022,6900,1148873,0.00600588576805269,0.232833471061262,69
2022,7000,1148873,0.00609292759077809,0.234159775787953,70
2022,7100,1148873,0.00617996941350349,0.235473501012679,71
2022,7200,1148873,0.0062670112362289,0.236774206331685,72
2022,7300,1148873,0.0063540530589543,0.238063290170928,73
2022,7400,1148873,0.0064410948816797,0.239339205297392,74
2022,7500,1148873,0.0065281367044051,0.240603165993876,75
2022,7600,1148873,0.0066151785271305,0.241852822484289,76
2022,7700,1148873,0.0067022203498559,0.243088576071268,77
2022,7800,1148873,0.0067892621725813,0.24431234715749,78
2022,7900,1148873,0.0068763039953067,0.245524564301925,79
2022,8000,1148873,0.00696334581803211,0.246725680259954,80
2022,8100,1148873,0.00705038764075751,0.247915682131451,81
2022,8200,1148873,0.00713742946348291,0.24909483342377,82
2022,8300,1148873,0.00722447128620831,0.250263048106404,83
2022,8400,1148873,0.00731151310893371,0.251420603109935,84
2022,8500,1148873,0.00739855493165911,0.252567993257463,85
2022,8600,1148873,0.00748559675438451,0.2537067398625,86
2022,8700,1148873,0.00757263857710992,0.254835656711346,87
2022,8800,1148873,0.00765968039983532,0.255953327762229,88
2022,8900,1148873,0.00774672222256072,0.257061872339377,89
2022,9000,1148873,0.00783376404528612,0.258161051379382,90
2022,9100,1148873,0.00792080586801152,0.259251007661627,91
2022,9200,1148873,0.00800784769073692,0.26033105311208,92
2022,9300,1148873,0.00809488951346232,0.261400591165153,93
2022,9400,1148873,0.00818193133618773,0.262461456117021,94
2022,9500,1148873,0.00826897315891313,0.263514680268231,95
